,name,year,owners,mileage,litres,BHP,transmission,fuel,price,write_off_category,vehicle_type,seller_name,location
0,Vauxhall Astra,2019 (19 reg),1 owner,"72,926 miles",1.6L,108BHP,Manual,Diesel,"£8,299",N/A,Hatchback,Hilton Car Supermarket Milton Keynes - See all 308 cars,Dealer locationMilton Keynes
1,Vauxhall Corsa,2007 (57 reg),15 owners,"80,000 miles",1.4L,89BHP,Automatic,Petrol,£700,Cat D,Hatchback,Sansa London - See all 14 cars,Dealer locationHounslow
2,BMW 1 Series,2010 (60 reg),N/A,"72,000 miles",2.0L,143PS,Manual,Petrol,"£1,850",N/A,Hatchback,Car & House - See all 95 cars,Dealer locationWelwyn
3,Vauxhall Astra,2010 (60 reg),N/A,"99,000 miles",1.6L,115PS,Manual,Petrol,"£2,499",N/A,Hatchback,Selekt Cars - See all 2 cars,Dealer locationHounslow
4,Peugeot 307,2007 (07 reg),4 owners,"104,328 miles",2.0L,136BHP,Manual,Diesel,"£1,350",N/A,Hatchback,Wah Motors Ltd - See all 23 cars,Dealer locationLuton
5,Vauxhall Corsa,2006 (06 reg),4 owners,"75,000 miles",1.2L,79BHP,Manual,Petrol,£500,N/A,Hatchback,Tamworth Road Cars - See all 12 cars,Dealer locationNottingham
6,Vauxhall Corsa,2013 (13 reg),4 owners,"79,000 miles",1.4L,100PS,Manual,Petrol,"£2,500",N/A,Hatchback,MY NEW CAR - See all 82 cars,Dealer locationHanwell
7,Vauxhall Astra,2013 (13 reg),2 owners,"99,000 miles",1.7L,130PS,Manual,Diesel,"£1,500",N/A,Estate,Cheap Cars and Vans - See all 20 cars,Dealer locationEnfield
8,Vauxhall Corsa,2011 (61 reg),3 owners,"107,000 miles",1.4L,100PS,Manual,Petrol,£995,N/A,Hatchback,SPRINGALLS CAR SALES LTD - See all 13 cars,Dealer locationReading
9,Vauxhall Astra,2004 (54 reg),N/A,"98,500 miles",1.6L,101BHP,Manual,Petrol,£500,N/A,Hatchback,Wokingham Motors Ltd - See all 35 cars,Dealer locationWokingham
10,Ford Fiesta,2012 (61 reg),Part service history,"81,000 miles",1.25L,59BHP,Manual,Petrol,"£1,995",N/A,Hatchback,S A CAR SALES - See all 111 cars,Dealer locationWest Molesey
11,Vauxhall Corsa,2008 (58 reg),N/A,"105,349 miles",1.0L,60BHP,Manual,Petrol,"£1,298",N/A,Hatchback,AUTHENTIC AUTOS - See all 7 cars,Dealer locationHarrow
12,Vauxhall Astra,2019 (19 reg),1 owner,"72,926 miles",1.6L,108BHP,Manual,Diesel,"£8,299",N/A,Hatchback,Hilton Car Supermarket Milton Keynes - See all 308 cars,Dealer locationMilton Keynes
13,Vauxhall Corsa,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
14,Volkswagen Polo,2018 (68 reg),2 owners,"83,427 miles",1.0L,74BHP,Manual,Petrol,"£9,999",N/A,Hatchback,Hilton Car Supermarket Milton Keynes - See all 308 cars,Dealer locationMilton Keynes
15,Vauxhall Astra,2008 (08 reg),6 owners,"130,000 miles",1.6L,113BHP,Manual,Petrol,£799,N/A,Hatchback,Cheap Cars and Vans - See all 20 cars,Dealer locationEnfield
16,BMW 3 Series,2003 (03 reg),N/A,"102,000 miles",2.0L,143BHP,Automatic,Petrol,£500,N/A,Hatchback,HG UK Car Sales - See all 229 cars,Dealer locationWokingham
17,Citroen DS3,2012 (61 reg),N/A,"97,000 miles",1.6L,120PS,Manual,Petrol,£750,Cat S,Hatchback,HG UK Car Sales - See all 229 cars,Dealer locationWokingham
18,SEAT Ibiza,2010 (59 reg),3 owners,"116,207 miles",1.6L,105PS,Manual,Diesel,"£1,300",N/A,Hatchback,,N/A
19,Vauxhall Corsa,2012 (62 reg),N/A,"44,000 miles",1.4L,100PS,Manual,Petrol,"£2,500",N/A,Hatchback,MY NEW CAR - See all 82 cars,Dealer locationHanwell
20,Lexus IS 250,2007 (07 reg),N/A,"128,199 miles",2.5L,204BHP,Manual,Petrol,"£2,222",N/A,Saloon,Bravo Motorcars Ltd - See all 32 cars,Dealer locationRickmansworth
21,Vauxhall Corsa,2012 (12 reg),6 owners,"70,000 miles",1.2L,85PS,Manual,Petrol,"£2,190",N/A,Hatchback,MY NEW CAR - See all 82 cars,Dealer locationHanwell
22,MINI Hatch,2005 (05 reg),N/A,"153,000 miles",1.6L,115PS,Manual,Petrol,£595,N/A,Hatchback,Paragon Car Sales Ltd - See all 62 cars,Dealer locationFarnham
23,Ford Kuga,2012 (62 reg),N/A,"100,145 miles",2.0L,163PS,Automatic,Diesel,"£2,000",N/A,SUV,ARJ MOTORS - See all 73 cars,Dealer locationAddlestone
24,SKODA Fabia,2004 (54 reg),6 owners,"74,000 miles",1.4L,100BHP,Manual,Petrol,£799,N/A,Saloon,Cheap Cars and Vans - See all 20 cars,Dealer locationEnfield
25,Vauxhall Corsa,2008 (58 reg),N/A,"105,349 miles",1.0L,60BHP,Manual,Petrol,"£1,298",N/A,Hatchback,AUTHENTIC AUTOS - See all 7 cars,Dealer locationHarrow
26,Vauxhall Crossland X,2018 (68 reg),2 owners,"35,085 miles",1.2L,108BHP,Automatic,Petrol,"£12,449",N/A,SUV,Hilton Car Supermarket Milton Keynes - See all 308 cars,Dealer locationMilton Keynes
27,SEAT Arona,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
28,Volkswagen Polo,2018 (68 reg),2 owners,"83,427 miles",1.0L,74BHP,Manual,Petrol,"£9,999",N/A,Hatchback,Hilton Car Supermarket Milton Keynes - See all 308 cars,Dealer locationMilton Keynes
29,Vauxhall Corsa,2013 (13 reg),N/A,"85,000 miles",1.3L,75PS,Manual,Diesel,"£1,000",N/A,Hatchback,Swift Car Sales - See all 6 cars,Dealer locationGreater London
30,Vauxhall Corsa,2010 (59 reg),2 owners,"54,000 miles",1.0L,64BHP,Manual,Petrol,"£2,500",N/A,Hatchback,MY NEW CAR - See all 82 cars,Dealer locationHanwell
31,Mazda6,2010 (10 reg),4 owners,"85,200 miles",1.8L,118BHP,Manual,Petrol,"£1,695",N/A,Hatchback,Car Deal Ltd - See all 115 cars,Dealer locationWokingham
32,Vauxhall Corsa,2009 (58 reg),3 owners,"104,000 miles",1.3L,74BHP,Manual,Diesel,"£1,495",N/A,Hatchback,DRAYTON MOTORS LIMITED - See all 96 cars,Dealer locationSlough
33,Vauxhall Corsa,2006 (06 reg),N/A,"114,094 miles",1.4L,90BHP,Automatic,Petrol,"£1,495",N/A,Hatchback,Darin Autos Limited - See all 21 cars,Dealer locationEnfield
34,Toyota Auris,2008 (08 reg),N/A,"220,000 miles",2.0L,126BHP,Manual,Diesel,£499,N/A,Hatchback,Auto Atlas Limited - See all 18 cars,Dealer locationLeighton Buzzard
35,Vauxhall Astra,2013 (62 reg),2 owners,"140,423 miles",1.7L,130PS,Manual,Diesel,£530,Cat S,Hatchback,United Cars Limited - See all 50 cars,Dealer locationLuton
36,Vauxhall Corsa,2014 (14 reg),3 owners,"52,400 miles",1.2L,85PS,Manual,Petrol,"£3,690",N/A,Hatchback,MY NEW CAR - See all 82 cars,Dealer locationHanwell
37,Hyundai Coupe,2007 (07 reg),3 owners,"124,196 miles",2.0L,141BHP,Manual,Petrol,£800,N/A,Coupe,,N/A
38,Vauxhall Corsa,2011 (11 reg),N/A,"64,000 miles",1.4L,100PS,Manual,Petrol,"£1,250",Cat S,Hatchback,Sandy Cars - See all 44 cars,Dealer locationSandy
39,Mazda6,2010 (10 reg),4 owners,"85,200 miles",1.8L,118BHP,Manual,Petrol,"£1,695",N/A,Hatchback,Car Deal Ltd - See all 115 cars,Dealer locationWokingham
40,Volkswagen Polo,2018 (68 reg),2 owners,"83,427 miles",1.0L,74BHP,Manual,Petrol,"£9,999",N/A,Hatchback,Hilton Car Supermarket Milton Keynes - See all 308 cars,Dealer locationMilton Keynes
41,Volkswagen T-Cross,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
42,Volkswagen Polo,2018 (68 reg),2 owners,"83,427 miles",1.0L,74BHP,Manual,Petrol,"£9,999",N/A,Hatchback,Hilton Car Supermarket Milton Keynes - See all 308 cars,Dealer locationMilton Keynes
43,Mazda RX-8,2008 (08 reg),4 owners,"74,000 miles",1.3L,190BHP,Manual,Petrol,"£2,495",N/A,Coupe,Auto 4 U - See all 109 cars,Dealer locationGreenford
44,BMW 3 Series,2007 (07 reg),N/A,"144,900 miles",2.0L,122PS,Manual,Diesel,"£1,499",N/A,Saloon,Star Car Sales - See all 41 cars,Dealer locationBedford
45,Vauxhall Corsa,2011 (11 reg),2 owners,"79,000 miles",1.0L,64BHP,Manual,Petrol,"£1,990",N/A,Hatchback,MY NEW CAR - See all 82 cars,Dealer locationHanwell
46,Volkswagen Golf,2010 (10 reg),4 owners,"91,000 miles",1.4L,122PS,Automatic,Petrol,"£3,999",N/A,Hatchback,,N/A
47,KIA Cerato,2006 (56 reg),4 owners,"86,000 miles",1.6L,103BHP,Manual,Petrol,£999,N/A,Hatchback,Cheap Cars and Vans - See all 20 cars,Dealer locationEnfield
48,Suzuki Swift,2010 (10 reg),4 owners,"99,000 miles",1.3L,91BHP,Manual,Petrol,"£1,300",N/A,Hatchback,CARS IN MK LTD - See all 17 cars,Dealer locationMilton Keynes
49,Vauxhall Corsa,2009 (09 reg),N/A,"90,000 miles",1.2L,79BHP,Manual,Petrol,"£1,995",N/A,Hatchback,QVM - See all 19 cars,Dealer locationNew Southgate
50,Volvo V40,2002 (02 reg),N/A,"149,000 miles",Manual,Diesel,4 owners,N/A,£795,N/A,Estate,Reflex Autos Limited - See all 17 cars,Dealer locationShepperton
51,Vauxhall Corsa,2008 (58 reg),N/A,"105,349 miles",1.0L,60BHP,Manual,Petrol,"£1,298",N/A,Hatchback,AUTHENTIC AUTOS - See all 7 cars,Dealer locationHarrow
52,Mercedes-Benz C Class,2008 (08 reg),2 owners,"167,897 miles",2.1L,136PS,Automatic,Diesel,"£1,999",N/A,Saloon,Revolve Collections Ltd - See all 20 cars,Dealer locationBirmingham
53,Mazda6,2010 (10 reg),4 owners,"85,200 miles",1.8L,118BHP,Manual,Petrol,"£1,695",N/A,Hatchback,Car Deal Ltd - See all 115 cars,Dealer locationWokingham
54,Volkswagen Polo,2018 (68 reg),2 owners,"83,427 miles",1.0L,74BHP,Manual,Petrol,"£9,999",N/A,Hatchback,Hilton Car Supermarket Milton Keynes - See all 308 cars,Dealer locationMilton Keynes
55,Vauxhall Astra,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
56,Volkswagen Polo,2018 (68 reg),2 owners,"83,427 miles",1.0L,74BHP,Manual,Petrol,"£9,999",N/A,Hatchback,Hilton Car Supermarket Milton Keynes - See all 308 cars,Dealer locationMilton Keynes
57,Mazda3,2011 (61 reg),2 owners,"111,000 miles",1.6L,105PS,Manual,Petrol,"£2,495",N/A,Hatchback,West Cars - See all 30 cars,Dealer locationSlough
58,Volkswagen Polo,2010 (10 reg),6 owners,"112,015 miles",1.2L,60PS,Manual,Petrol,"£2,895",N/A,Hatchback,TM Motors Ltd - See all 3 cars,Dealer locationEdgware
59,Peugeot 208,2013 (63 reg),N/A,"92,000 miles",1.0L,68PS,Manual,Petrol,"£3,000",N/A,Hatchback,Indus Motors Ltd - See all 44 cars,Dealer locationMilton Keynes
60,Renault Clio,2006 (56 reg),6 owners,"104,000 miles",1.6L,111BHP,Automatic,Petrol,£999,Cat D,Hatchback,Cheap Cars and Vans - See all 20 cars,Dealer locationEnfield
61,Toyota Yaris,2004 (54 reg),4 owners,"104,000 miles",1.0L,67BHP,Manual,Petrol,£795,N/A,Hatchback,AA Cars - See all 14 cars,Dealer locationPeterborough
62,Ford Fiesta,2006 (56 reg),7 owners,"141,144 miles",1.25L,74BHP,Manual,Petrol,£895,N/A,Hatchback,Grand Cars - See all 9 cars,Dealer locationRomford
63,Audi A4,2001 (51 reg),N/A,"160,000 miles",1.9L,130BHP,Manual,Diesel,£600,N/A,Saloon,A&A car sales - See all 121 cars,Dealer locationFarnham
64,MINI Convertible,2004 (04 reg),2 owners,"124,077 miles",1.6L,115PS,Manual,Petrol,£795,N/A,Convertible,Budget Cars - See all 13 cars,Dealer locationRomford
65,Vauxhall Insignia,2012 (12 reg),5 owners,"128,750 miles",2.0L,160PS,Manual,Diesel,"£1,250",N/A,Hatchback,Prestige Cars Berkshire - See all 67 cars,Dealer locationSlough
66,Peugeot 207,2007 (07 reg),9 owners,"61,000 miles",1.4L,90BHP,Manual,Petrol,"£1,395",N/A,Hatchback,Heathrow Vehicle Sales - See all 10 cars,Dealer locationStanwell Moor
67,Mazda6,2010 (10 reg),4 owners,"85,200 miles",1.8L,118BHP,Manual,Petrol,"£1,695",N/A,Hatchback,Car Deal Ltd - See all 115 cars,Dealer locationWokingham
68,Volkswagen Polo,2018 (68 reg),2 owners,"83,427 miles",1.0L,74BHP,Manual,Petrol,"£9,999",N/A,Hatchback,Hilton Car Supermarket Milton Keynes - See all 308 cars,Dealer locationMilton Keynes
69,SKODA Octavia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
70,Hyundai Tucson,2017 (17 reg),4 owners,"49,708 miles",1.6L,130BHP,Manual,Petrol,"£11,200",N/A,SUV,Big Motoring World West Malling - See all 486 cars,Dealer locationAddington
71,Vauxhall Corsa,2007 (57 reg),N/A,"86,500 miles",1.2L,80BHP,Manual,Petrol,"£1,495",N/A,Hatchback,Best West Autos - See all 53 cars,Dealer locationWest Drayton
72,Ford Fiesta,2003 (03 reg),6 owners,"84,000 miles",1.4L,79BHP,Manual,Petrol,£695,N/A,Hatchback,Stevenage Cars - See all 87 cars,Dealer locationStevenage
73,BMW 1 Series,2010 (10 reg),6 owners,"65,000 miles",2.0L,143PS,Automatic,Petrol,"£2,490",N/A,Convertible,Mondial Cars - See all 60 cars,Dealer locationNorthwood
74,SKODA Fabia,2009 (59 reg),3 owners,"90,113 miles",1.2L,70BHP,Manual,Petrol,£500,N/A,Hatchback,Star City Motors Ltd - See all 9 cars,Dealer locationBirmingham
75,Ford Galaxy,2011 (11 reg),N/A,"268,375 miles",2.0L,138BHP,Automatic,Diesel,"£1,695",Cat N,MPV,MOTOR BASE AUTOMOBILES LTD - See all 25 cars,Dealer locationEnfield
76,Honda Civic,2005 (54 reg),3 owners,"113,000 miles",1.6L,108BHP,Manual,Petrol,"£1,195",N/A,Hatchback,Greys Motors Exchange - See all 33 cars,Dealer locationReading
77,Mercedes-Benz Clc Class,2009 (09 reg),N/A,"132,000 miles",1.8L,143PS,Automatic,Petrol,"£2,685",N/A,Hatchback,A40 Motors - See all 32 cars,Dealer locationActon
78,Audi A4,2009 (09 reg),N/A,"120,300 miles",1.8L,160PS,Automatic,Petrol,"£3,490",N/A,Saloon,AUTO MALL LIMITED - See all 4 cars,Dealer locationLuton
79,Volkswagen Golf,2004 (04 reg),2 owners,"74,000 miles",1.6L,113BHP,Manual,Petrol,"£2,499",N/A,Hatchback,Parkstone Motors Ltd - See all 10 cars,Dealer locationSt. Albans
80,Mitsubishi Colt,2008 (58 reg),3 owners,"73,500 miles",1.5L,94BHP,Automatic,Diesel,"£1,500",N/A,Hatchback,Car Deal Ltd - See all 115 cars,Dealer locationWokingham
81,Mitsubishi Colt,2008 (58 reg),3 owners,"73,500 miles",1.5L,94BHP,Automatic,Diesel,"£1,500",N/A,Hatchback,Car Deal Ltd - See all 115 cars,Dealer locationWokingham
82,KIA Sportage,2018 (68 reg),1 owner,"27,206 miles",1.7L,114BHP,Manual,Diesel,"£12,999",N/A,SUV,Hilton Car Supermarket Milton Keynes - See all 308 cars,Dealer locationMilton Keynes
83,Nissan Qashqai,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
84,Vauxhall Crossland X,2018 (68 reg),2 owners,"35,085 miles",1.2L,108BHP,Automatic,Petrol,"£12,449",N/A,SUV,Hilton Car Supermarket Milton Keynes - See all 308 cars,Dealer locationMilton Keynes
85,Audi A5,2010 (60 reg),N/A,"142,100 miles",2.0L,168BHP,Manual,Diesel,"£4,889",N/A,Coupe,A6 Motors Ltd - See all 156 cars,Dealer locationBedford
86,Chrysler Crossfire,2006 (06 reg),N/A,"72,000 miles",3.2L,215BHP,Automatic,Petrol,"£1,950",N/A,Coupe,Auto 4 U - See all 109 cars,Dealer locationGreenford
87,Jaguar X-Type,2008 (57 reg),N/A,"80,000 miles",2.0L,128BHP,Manual,Diesel,£890,Cat N,Saloon,Motoring World - See all 145 cars,Dealer locationNortholt
88,Mazda 323,1998 (R reg),1 owner,"22,000 miles",1.5L,89BHP,Manual,Petrol,"£1,999",N/A,Hatchback,MY NEW CAR - See all 82 cars,Dealer locationHanwell
89,Nissan Qashqai,2011 (11 reg),N/A,"95,000 miles",1.5L,110PS,Manual,Diesel,"£2,449",N/A,SUV,Motorama - See all 54 cars,Dealer locationWelwyn Garden City
90,Volkswagen Polo,2012 (12 reg),4 owners,"73,000 miles",1.2L,60PS,Manual,Petrol,"£4,795",N/A,Hatchback,F & T MOTORS LTD - See all 7 cars,Dealer locationHanwell
91,Daihatsu Copen,2004 (04 reg),N/A,"90,000 miles",0.66L,67BHP,Manual,Petrol,"£1,499",N/A,Convertible,PLF Cars - See all 199 cars,Dealer locationChertsey
92,Audi A5 Cabriolet,2010 (10 reg),4 owners,"189,000 miles",2.0L,170PS,Manual,Diesel,"£1,950",N/A,Convertible,Bengal Motors - See all 12 cars,Dealer locationPlaistow
93,Ford Focus,2004 (04 reg),2 owners,"97,000 miles",1.6L,99BHP,Manual,Petrol,"£1,250",N/A,Hatchback,Edmonton Motors - See all 31 cars,Dealer locationLondon
94,Land Rover Freelander,2004 (04 reg),6 owners,"103,300 miles",2.0L,110BHP,Automatic,Diesel,"£1,250",N/A,SUV,Car Deal Ltd - See all 115 cars,Dealer locationWokingham
95,BMW 1 Series,2010 (10 reg),6 owners,"65,000 miles",2.0L,143PS,Automatic,Petrol,"£2,490",N/A,Convertible,Mondial Cars - See all 60 cars,Dealer locationNorthwood
96,BMW 1 Series,2017 (17 reg),2 owners,"48,357 miles",1.5L,114BHP,Manual,Diesel,"£10,500",N/A,Hatchback,Big Motoring World Peterborough Fengate - See all 359 cars,Dealer locationPeterborough
97,Volkswagen ID.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
98,Volkswagen Polo,2018 (68 reg),2 owners,"83,427 miles",1.0L,74BHP,Manual,Petrol,"£9,999",N/A,Hatchback,Hilton Car Supermarket Milton Keynes - See all 308 cars,Dealer locationMilton Keynes
99,Vauxhall Astra,2005 (05 reg),N/A,"57,838 miles",1.7L,79BHP,Manual,Diesel,"£1,000",N/A,Hatchback,Lss Car sales - See all 36 cars,Dealer locationHayes
100,Mazda RX-8,2007 (57 reg),4 owners,"39,837 miles",1.3L,190BHP,Manual,Petrol,"£1,700",N/A,Coupe,,N/A
101,Peugeot 107,2009 (09 reg),N/A,"78,000 miles",1.0L,68PS,Manual,Petrol,"£1,200",N/A,Hatchback,Reading Car Sales - See all 71 cars,Dealer locationReading
102,Citroen DS3,2012 (62 reg),3 owners,"70,259 miles",1.6L,120PS,Manual,Petrol,"£1,990",N/A,Hatchback,United Cars Limited - See all 50 cars,Dealer locationLuton
103,Ford Fiesta,2007 (07 reg),7 owners,"99,000 miles",1.25L,74BHP,Manual,Petrol,"£1,290",N/A,Hatchback,A & S Motors - See all 25 cars,Dealer locationWalsall
104,MINI Hatch,2003 (03 reg),N/A,"114,000 miles",1.6L,90PS,Manual,Petrol,£999,N/A,Hatchback,PLF Cars - See all 199 cars,Dealer locationChertsey
105,Ford Fiesta,2012 (12 reg),N/A,"76,000 miles",1.6L,118BHP,Manual,Petrol,"£3,489",N/A,Hatchback,Chertsey Direct Motors - See all 56 cars,Dealer locationChertsey
106,Honda Civic,1999 (V reg),N/A,"117,000 miles",1.5L,113BHP,Automatic,Petrol,£995,N/A,Hatchback,EN3 Motor Sales Ltd - See all 11 cars,Dealer locationEnfield
107,Vauxhall Astra,2011 (11 reg),4 owners,"105,000 miles",1.6L,115PS,Manual,Petrol,"£2,499",N/A,Hatchback,Woodside Motors - See all 22 cars,Dealer locationDunstable
108,Volkswagen Lupo,2000 (W reg),5 owners,"80,000 miles",1.4L,100BHP,Manual,Petrol,"£1,295",N/A,Hatchback,Berkshire Car Centre - See all 56 cars,Dealer locationReading
109,Lexus IS 250,2007 (07 reg),N/A,"128,199 miles",2.5L,204BHP,Manual,Petrol,"£2,222",N/A,Saloon,Bravo Motorcars Ltd - See all 32 cars,Dealer locationRickmansworth
110,Hyundai Tucson,2017 (17 reg),4 owners,"49,708 miles",1.6L,130BHP,Manual,Petrol,"£11,200",N/A,SUV,Big Motoring World West Malling - See all 486 cars,Dealer locationAddington
111,SKODA Enyaq,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
112,Ford Focus,2016 (66 reg),2 owners,"67,149 miles",1.5L,118BHP,Manual,Diesel,"£8,300",N/A,Hatchback,Big Motoring World West Malling - See all 486 cars,Dealer locationAddington
113,Vauxhall Corsa,2009 (59 reg),1 owner,"48,000 miles",1.2L,79BHP,Manual,Petrol,"£1,990",N/A,Hatchback,MY NEW CAR - See all 82 cars,Dealer locationHanwell
114,Jaguar X-Type,2005 (05 reg),Full service history,"161,000 miles",2.0L,130BHP,Manual,Diesel,£999,N/A,Saloon,Flc - See all 44 cars,Dealer locationYiewsley
115,Vauxhall Astra,2010 (60 reg),2 owners,"158,567 miles",1.6L,115PS,Automatic,Petrol,"£1,890",N/A,Hatchback,Empire Cars - See all 69 cars,Dealer locationBedford
116,Vauxhall Corsa,2009 (58 reg),3 owners,"102,000 miles",1.4L,89BHP,Automatic,Petrol,"£2,495",N/A,Hatchback,AZ Henley Motors Ltd - See all 46 cars,Dealer locationSlough
117,Vauxhall Corsa,2011 (11 reg),5 owners,"88,000 miles",1.2L,85PS,Manual,Petrol,"£2,990",N/A,Hatchback,Biggleswade Motors - See all 12 cars,Dealer locationBiggleswade
118,Toyota Yaris,2000 (X reg),9 owners,"61,000 miles",1.0L,67BHP,Manual,Petrol,£699,Cat C,Hatchback,Cheap Cars and Vans - See all 20 cars,Dealer locationEnfield
119,Vauxhall Astra,2006 (06 reg),Part service history,"115,522 miles",1.4L,89BHP,Manual,Petrol,£995,N/A,Hatchback,D&D UK CARS LIMITED - See all 17 cars,Dealer locationLuton
120,Vauxhall Astra,2008 (08 reg),2 owners,"78,648 miles",1.4L,89BHP,Manual,Petrol,"£1,199",N/A,Hatchback,,N/A
121,Ford Fiesta,2007 (07 reg),4 owners,"111,875 miles",1.4L,79BHP,Manual,Petrol,£499,N/A,Hatchback,GENERAL MOTORS - See all 36 cars,Dealer locationBirmingham
122,Vauxhall Corsa,2012 (12 reg),4 owners,"48,000 miles",1.4L,100PS,Manual,Petrol,"£2,500",N/A,Hatchback,MY NEW CAR - See all 82 cars,Dealer locationHanwell
123,Audi A5,2010 (60 reg),N/A,"142,100 miles",2.0L,168BHP,Manual,Diesel,"£4,889",N/A,Coupe,A6 Motors Ltd - See all 156 cars,Dealer locationBedford
124,Ford Focus,2016 (66 reg),2 owners,"67,149 miles",1.5L,118BHP,Manual,Diesel,"£8,300",N/A,Hatchback,Big Motoring World West Malling - See all 486 cars,Dealer locationAddington
125,SKODA Enyaq,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
126,Hyundai Tucson,2017 (17 reg),4 owners,"49,708 miles",1.6L,130BHP,Manual,Petrol,"£11,200",N/A,SUV,Big Motoring World West Malling - See all 486 cars,Dealer locationAddington
127,Lexus IS 200,2011 (61 reg),2 owners,"210,000 miles",2.2L,148BHP,Manual,Diesel,"£1,099",N/A,Saloon,Shahz Cars - See all 38 cars,Dealer locationLeighton Buzzard
128,Fiat Grande Punto,2008 (08 reg),3 owners,"73,150 miles",1.2L,65BHP,Manual,Petrol,"£1,400",Cat S,Hatchback,ATLAS AUTOMOBILES UK LTD - See all 17 cars,Dealer locationWindsor
129,Ford Fiesta,2009 (59 reg),10 owners,"101,000 miles",1.6L,118BHP,Manual,Petrol,"£2,499",Cat S,Hatchback,YAS CAR - See all 28 cars,Dealer locationWatford
130,Vauxhall Zafira,2008 (57 reg),4 owners,"70,600 miles",1.9L,150PS,Manual,Diesel,"£1,895",N/A,MPV,Car Deal Ltd - See all 115 cars,Dealer locationWokingham
131,MG Midget,1972 (K reg),N/A,"75,043 miles",1.3L,Manual,Petrol,3 owners,"£1,875",N/A,Convertible,,N/A
132,Vauxhall Astra,2010 (10 reg),N/A,"98,000 miles",1.6L,115PS,Manual,Petrol,"£1,950",N/A,Hatchback,Auto 4 U - See all 109 cars,Dealer locationGreenford
133,MINI Hatch,2007 (57 reg),5 owners,"94,381 miles",1.4L,95PS,Manual,Petrol,£595,N/A,Hatchback,Ash Car Sales Limited - See all 19 cars,"Dealer locationSt. Ives, Cambridgeshire"
134,Vauxhall Corsa,2006 (55 reg),10 owners,"130,000 miles",1.2L,79BHP,Manual,Petrol,£990,Cat N,Hatchback,DVP CAR SALES LTD - See all 104 cars,Dealer locationCroydon
135,Chevrolet Cruze,2011 (11 reg),2 owners,"85,870 miles",1.6L,124PS,Automatic,Petrol,"£3,499",N/A,Hatchback,A PLUS AUTO LTD - See all 5 cars,Dealer locationLuton
136,Peugeot 207,2007 (07 reg),2 owners,"111,400 miles",1.6L,110BHP,Manual,Diesel,£999,N/A,Hatchback,VERITAS CARS - See all 45 cars,Dealer locationHanwell
137,BMW 1 Series,2010 (60 reg),N/A,"72,000 miles",2.0L,143PS,Manual,Petrol,"£1,850",N/A,Hatchback,Car & House - See all 95 cars,Dealer locationWelwyn
138,Hyundai Tucson,2017 (17 reg),4 owners,"49,708 miles",1.6L,130BHP,Manual,Petrol,"£11,200",N/A,SUV,Big Motoring World West Malling - See all 486 cars,Dealer locationAddington
139,Tesla Model 3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
140,Vauxhall Crossland X,2018 (68 reg),2 owners,"35,085 miles",1.2L,108BHP,Automatic,Petrol,"£12,449",N/A,SUV,Hilton Car Supermarket Milton Keynes - See all 308 cars,Dealer locationMilton Keynes
141,Mazda3,2010 (59 reg),12 owners,"158,916 miles",1.6L,105PS,Manual,Petrol,"£1,095",Cat C,Hatchback,Budget Cars - See all 13 cars,Dealer locationRomford
142,Fiat 500,2009 (09 reg),Part service history,"115,000 miles",0.9L,86PS,Manual,Petrol,"£1,675",N/A,Hatchback,S B Car Sales - See all 46 cars,Dealer locationStaines
143,Honda Civic,2001 (Y reg),N/A,"156,121 miles",1.6L,108BHP,Automatic,Petrol,£999,N/A,Hatchback,Watsons Autos - See all 14 cars,Dealer locationBishop's Stortford
144,Vauxhall Corsa,2011 (11 reg),N/A,"88,000 miles",1.2L,85PS,Manual,Petrol,"£2,490",N/A,Hatchback,Harry's Car Sales - See all 333 cars,Dealer locationPeterborough
145,Suzuki Liana,2006 (55 reg),4 owners,"110,000 miles",1.6L,104BHP,Automatic,Petrol,"£1,495",N/A,Saloon,Auto 4 U - See all 109 cars,Dealer locationGreenford
146,Toyota Yaris,2006 (06 reg),6 owners,"99,600 miles",1.0L,67BHP,Manual,Petrol,£895,Cat N,Hatchback,Budget Cars - See all 13 cars,Dealer locationRomford
147,Mazda3,2010 (10 reg),N/A,"82,130 miles",2.2L,150PS,Manual,Diesel,£695,N/A,Hatchback,DUNSMORE MOTORZ LTD - See all 54 cars,Dealer locationCoventry
