,name,year,owners,mileage,litres,BHP,transmission,fuel,price,write_off_category,vehicle_type,seller_name,location
0,BMW 1 Series,2017 (17 reg),2 owners,"48,357 miles",1.5L,114BHP,Manual,Diesel,"£10,500",N/A,Hatchback,Big Motoring World Peterborough Fengate - See all 358 cars,Dealer locationPeterborough
1,Vauxhall Corsa,2006 (06 reg),4 owners,"75,000 miles",1.2L,79BHP,Manual,Petrol,£500,N/A,Hatchback,Tamworth Road Cars - See all 12 cars,Dealer locationNottingham
2,Mazda3,2016 (16 reg),3 owners,"99,500 miles",2.2L,150PS,Manual,Diesel,"£2,495",Cat C,Hatchback,PCS Piccadilly Car Sales LTD - See all 47 cars,Dealer locationWakefield
3,Saab 9-5,2009 (09 reg),N/A,"107,873 miles",1.9L,150BHP,Manual,Diesel,£790,Cat S,Saloon,Century Motors Ltd Est 1958 - See all 53 cars,Dealer locationSheffield
4,Vauxhall Corsa,2008 (08 reg),1 owner,"77,000 miles",1.2L,79BHP,Manual,Petrol,"£1,995",N/A,Hatchback,Drivehub Ltd - See all 19 cars,Dealer locationRochdale
5,Honda Accord,2010 (10 reg),N/A,"319,000 miles",2.0L,156PS,Manual,Petrol,£995,Cat S,Saloon,Clifby Motor Centre - See all 24 cars,Dealer locationHalifax
6,Hyundai Atoz,1999 (V reg),N/A,"100,000 miles",1.0L,55BHP,Manual,Petrol,£300,N/A,Hatchback,Castle Motors - See all 19 cars,Dealer locationLeeds
7,Vauxhall Astra,2009 (59 reg),Part service history,"100,287 miles",1.8L,138BHP,Manual,Petrol,"£2,290",N/A,Hatchback,Car Bazaar Ltd - See all 23 cars,Dealer locationSheffield
8,Mercedes-Benz C Class,2008 (08 reg),2 owners,"167,897 miles",2.1L,136PS,Automatic,Diesel,"£1,999",N/A,Saloon,Revolve Collections Ltd - See all 19 cars,Dealer locationBirmingham
9,Ford Fiesta,2007 (07 reg),7 owners,"99,000 miles",1.25L,74BHP,Manual,Petrol,"£1,290",N/A,Hatchback,A & S Motors - See all 25 cars,Dealer locationWalsall
10,SKODA Fabia,2009 (59 reg),3 owners,"90,113 miles",1.2L,70BHP,Manual,Petrol,£500,N/A,Hatchback,Star City Motors Ltd - See all 9 cars,Dealer locationBirmingham
11,Citroen Berlingo,2009 (09 reg),2 owners,"102,850 miles",1.6L,90PS,Manual,Diesel,"£4,000",N/A,MPV,Approved Vehicles - See all 70 cars,Dealer locationChesterfield
12,Nissan Juke,2020 (70 reg),N/A,"5,524 miles",1.0L,114PS,Manual,Petrol,"£16,302",N/A,SUV,Bristol Street Motors Nissan Derby - See all 31 cars,Dealer locationDerby
13,Vauxhall Corsa,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
14,KIA Stonic,2018 (18 reg),2 owners,"43,671 miles",1.4L,99PS,Manual,Petrol,"£11,255",N/A,SUV,Carsa - See all 193 cars,Dealer locationCollect from Bradford
15,Subaru Impreza,2006 (56 reg),N/A,"65,000 miles",2.0L,158BHP,Manual,Petrol,"£4,995",N/A,Saloon,Wyke Motors - See all 23 cars,Dealer locationBradford
16,Vauxhall Corsa,2008 (58 reg),3 owners,"97,501 miles",1.2L,79BHP,Manual,Petrol,"£1,595",N/A,Hatchback,Midland Cars - See all 32 cars,Dealer locationNottingham
17,Volkswagen Golf,2007 (07 reg),4 owners,"133,203 miles",1.4L,79BHP,Manual,Petrol,£775,N/A,Hatchback,,N/A
18,Volkswagen Golf,2007 (07 reg),N/A,"123,000 miles",1.9L,103BHP,Manual,Diesel,£850,N/A,Hatchback,Pavilion Motors - See all 176 cars,Dealer locationOldham
19,Volkswagen Golf,2010 (10 reg),4 owners,"91,000 miles",1.4L,122PS,Automatic,Petrol,"£3,999",N/A,Hatchback,,N/A
20,Ford Fiesta,2007 (07 reg),4 owners,"111,875 miles",1.4L,79BHP,Manual,Petrol,£499,N/A,Hatchback,GENERAL MOTORS - See all 36 cars,Dealer locationBirmingham
21,MINI Hatch,2006 (06 reg),N/A,"107,390 miles",1.6L,118PS,Manual,Petrol,£500,N/A,Hatchback,J.A Motors Ltd - See all 42 cars,Dealer locationKeighley
22,Renault Clio,2006 (56 reg),5 owners,"115,000 miles",1.5L,86BHP,Manual,Diesel,£995,N/A,Hatchback,Budget Car Sales - See all 5 cars,Dealer locationBradford
23,Renault Wind,2011 (11 reg),Part service history,"58,741 miles",1.2L,100PS,Manual,Petrol,"£1,995",Cat D,Convertible,First Choice Car Sales - See all 22 cars,Dealer locationLiverpool
24,Jeep Patriot,2008 (08 reg),4 owners,"153,726 miles",2.0L,138BHP,Manual,Diesel,"£1,450",N/A,SUV,Neon Motor Company Ltd - See all 37 cars,Dealer locationBradford
25,Ford B-Max,2012 (62 reg),2 owners,"111,467 miles",1.0L,100PS,Manual,Petrol,"£1,000",N/A,MPV,Motor Plug - See all 28 cars,Dealer locationStockton On Tees
26,BMW 1 Series,2017 (17 reg),2 owners,"48,357 miles",1.5L,114BHP,Manual,Diesel,"£10,500",N/A,Hatchback,Big Motoring World Peterborough Fengate - See all 358 cars,Dealer locationPeterborough
27,SEAT Arona,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
28,KIA Stonic,2018 (18 reg),2 owners,"43,671 miles",1.4L,99PS,Manual,Petrol,"£11,255",N/A,SUV,Carsa - See all 193 cars,Dealer locationCollect from Bradford
29,Peugeot 207,2012 (61 reg),4 owners,"81,000 miles",1.4L,75PS,Manual,Petrol,"£1,990",Cat N,Hatchback,A & S Motors - See all 25 cars,Dealer locationWalsall
30,Fiat Grande Punto,2007 (07 reg),N/A,"102,000 miles",1.2L,65BHP,Manual,Petrol,£999,N/A,Hatchback,APEX Motor Company - See all 18 cars,Dealer locationRotherham
31,Jaguar X-Type,2006 (06 reg),N/A,"98,000 miles",2.0L,130BHP,Manual,Diesel,£500,N/A,Saloon,North East Part Exchange Centre - See all 44 cars,Dealer locationGateshead
32,Mercedes-Benz C Class,2001 (51 reg),N/A,"86,974 miles",2.3L,197BHP,Manual,Petrol,£600,N/A,Coupe,Radfords Motor Sales Limited - See all 29 cars,Dealer locationMansfield
33,Ford Focus,2009 (09 reg),7 owners,"141,000 miles",1.6L,108BHP,Manual,Diesel,£595,N/A,Hatchback,Sm Car Sales - See all 51 cars,Dealer locationMorecambe
34,Toyota Yaris,2004 (54 reg),4 owners,"104,000 miles",1.0L,67BHP,Manual,Petrol,£795,N/A,Hatchback,AA Cars - See all 14 cars,Dealer locationPeterborough
35,Fiat 500,2010 (10 reg),4 owners,"102,000 miles",1.2L,70PS,Manual,Petrol,"£2,450",N/A,Hatchback,North Car Sales - See all 11 cars,Dealer locationCheadle
36,Hyundai Coupe,2001 (Y reg),5 owners,"73,561 miles",2.0L,137BHP,Automatic,Petrol,£899,N/A,Coupe,CARS WITH CHARACTOR LIMITED T/A Click Car - See all 19 cars,Dealer locationStockport
37,Ford Focus,2009 (59 reg),Full service history,"129,000 miles",1.8L,123BHP,Manual,Petrol,"£1,995",N/A,Estate,Y J Motors - See all 4 cars,Dealer locationBurton On Trent
38,Ford B-Max,2012 (62 reg),2 owners,"111,467 miles",1.0L,100PS,Manual,Petrol,"£1,000",N/A,MPV,Motor Plug - See all 28 cars,Dealer locationStockton On Tees
39,Vauxhall Corsa,2011 (11 reg),4 owners,"88,000 miles",1.4L,100PS,Manual,Petrol,"£2,750",N/A,Hatchback,Car Sales Cleckheaton Limited - See all 32 cars,Dealer locationCleckheaton
40,KIA Stonic,2018 (18 reg),2 owners,"43,671 miles",1.4L,99PS,Manual,Petrol,"£11,255",N/A,SUV,Carsa - See all 193 cars,Dealer locationCollect from Bradford
41,Volkswagen T-Cross,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
42,Renault Captur,2019 (69 reg),N/A,"34,963 miles",0.9L,90BHP,Manual,Petrol,"£9,950",N/A,SUV,Bristol Street Motors Renault Leicester - See all 18 cars,Dealer locationLeicester
43,Mazda MX-5,2004 (54 reg),4 owners,"131,848 miles",1.8L,146BHP,Manual,Petrol,£800,N/A,Convertible,GENERAL MOTORS - See all 36 cars,Dealer locationBirmingham
44,Peugeot 107,2009 (09 reg),N/A,"121,500 miles",1.0L,68BHP,Manual,Petrol,"£1,295",N/A,Hatchback,Mb Car Sales - See all 11 cars,Dealer locationSheffield
45,Ford Focus C-Max,2005 (55 reg),8 owners,"135,000 miles",1.6L,99BHP,Manual,Petrol,£600,N/A,MPV,J D Haynes Car Sales - See all 7 cars,Dealer locationCastleford
46,Vauxhall Corsa,2012 (12 reg),3 owners,"97,000 miles",1.3L,75PS,Manual,Diesel,"£1,500",N/A,Hatchback,RJCS Cars Ltd - See all 32 cars,Dealer locationOldbury
47,Ford KA,2008 (08 reg),5 owners,"47,532 miles",1.3L,69BHP,Manual,Petrol,£499,N/A,Hatchback,GENERAL MOTORS - See all 36 cars,Dealer locationBirmingham
48,MINI Hatch,2002 (02 reg),N/A,"98,729 miles",1.6L,115PS,Automatic,Petrol,"£1,000",N/A,Hatchback,GENERAL MOTORS - See all 36 cars,Dealer locationBirmingham
49,Ford Focus,2008 (08 reg),N/A,"116,000 miles",1.8L,123BHP,Manual,Petrol,£795,N/A,Hatchback,Wetmore Motor Group LTD - See all 60 cars,Dealer locationBurton On Trent
50,Peugeot 208,2014 (14 reg),3 owners,"75,000 miles",1.6L,200PS,Manual,Petrol,"£2,500",N/A,Hatchback,UP Prestige - See all 48 cars,Dealer locationBridgnorth
51,Vauxhall Zafira,2009 (09 reg),N/A,"145,000 miles",1.6L,105PS,Manual,Petrol,£499,N/A,MPV,HRM Motors - See all 17 cars,Dealer locationBirmingham
52,Vauxhall Signum,2005 (55 reg),N/A,"84,680 miles",2.2L,152BHP,Manual,Petrol,"£1,795",N/A,Hatchback,M5 Car Ltd - See all 39 cars,Dealer locationOldbury
53,Ford S-Max,2008 (08 reg),3 owners,"177,000 miles",2.0L,138BHP,Manual,Diesel,"£2,195",N/A,MPV,RS Motors - See all 21 cars,Dealer locationBirmingham
54,Renault Captur,2019 (69 reg),N/A,"34,963 miles",0.9L,90BHP,Manual,Petrol,"£9,950",N/A,SUV,Bristol Street Motors Renault Leicester - See all 18 cars,Dealer locationLeicester
55,Vauxhall Astra,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
56,KIA Stonic,2018 (18 reg),2 owners,"43,671 miles",1.4L,99PS,Manual,Petrol,"£11,255",N/A,SUV,Carsa - See all 193 cars,Dealer locationCollect from Bradford
57,Vauxhall Astra,2013 (63 reg),4 owners,"94,796 miles",1.6L,113BHP,Manual,Petrol,"£2,000",Cat N,Hatchback,Trade Cars Burnley - See all 19 cars,Dealer locationBurnley
58,Ford Focus,2011 (11 reg),5 owners,"87,000 miles",2.0L,140PS,Manual,Diesel,"£3,800",N/A,Hatchback,SMS Motors - See all 12 cars,Dealer locationSheffield
59,Audi A3,2009 (59 reg),3 owners,"148,020 miles",2.0L,138BHP,Automatic,Diesel,"£3,290",N/A,Hatchback,Alpha Motors - See all 67 cars,Dealer locationWigan
60,Peugeot 607,2002 (52 reg),2 owners,"137,572 miles",2.0L,136BHP,Manual,Petrol,£745,N/A,Saloon,Pavilion Motors - See all 176 cars,Dealer locationOldham
61,Peugeot 208,2014 (14 reg),Full service history,"72,000 miles",1.0L,68PS,Manual,Petrol,"£3,900",N/A,Hatchback,VS Car Sales Ltd - See all 17 cars,Dealer locationManchester
62,SEAT Ibiza,2008 (08 reg),3 owners,"96,475 miles",1.9L,99BHP,Manual,Diesel,"£2,490",N/A,Hatchback,Cheadle Car Sales - See all 52 cars,Dealer locationCheadle
63,Mercedes-Benz Clc Class,2008 (08 reg),4 owners,"110,000 miles",1.8L,184PS,Automatic,Petrol,"£1,499",N/A,Hatchback,Manor Motors - See all 19 cars,Dealer locationCastleford
64,BMW 5 Series,2012 (12 reg),4 owners,"126,000 miles",2.0L,184PS,Automatic,Diesel,"£6,795",N/A,Saloon,LA Automotive - See all 19 cars,Dealer locationBirmingham
65,BMW 1 Series,2010 (60 reg),N/A,"72,000 miles",2.0L,143PS,Manual,Petrol,"£1,850",N/A,Hatchback,Car & House - See all 95 cars,Dealer locationWelwyn
66,Suzuki Splash,2009 (09 reg),4 owners,"76,000 miles",1.2L,86PS,Manual,Petrol,"£1,095",N/A,MPV,Fircroft Motors - See all 11 cars,Dealer locationSheffield
67,Citroen C4,2011 (61 reg),4 owners,"77,000 miles",1.6L,110PS,Automatic,Diesel,"£3,995",N/A,Hatchback,Car Sales Cleckheaton Limited - See all 32 cars,Dealer locationCleckheaton
68,Vauxhall Mokka X,2019 (69 reg),N/A,"30,262 miles",1.4L,140PS,Manual,Petrol,"£12,200",N/A,SUV,Perrys Huddersfield - See all 99 cars,Dealer locationHuddersfield
69,SKODA Octavia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
70,Renault Captur,2019 (69 reg),N/A,"34,963 miles",0.9L,90BHP,Manual,Petrol,"£9,950",N/A,SUV,Bristol Street Motors Renault Leicester - See all 18 cars,Dealer locationLeicester
71,Mercedes-Benz C Class,2004 (54 reg),No service history,"205,008 miles",2.1L,122BHP,Manual,Diesel,£799,N/A,Estate,The One Stop Motor Shop - See all 21 cars,Dealer locationBlackburn
72,Peugeot 307,2007 (07 reg),4 owners,"104,328 miles",2.0L,136BHP,Manual,Diesel,"£1,350",N/A,Hatchback,Wah Motors Ltd - See all 23 cars,Dealer locationLuton
73,Ford KA,2009 (09 reg),4 owners,"81,000 miles",1.2L,69PS,Manual,Petrol,"£2,195",N/A,Hatchback,Art Motor Group - See all 9 cars,Dealer locationWakefield
74,Ford Fiesta,2008 (58 reg),N/A,"163,000 miles",1.4L,67BHP,Manual,Diesel,£899,N/A,Hatchback,BASFORD MOTORS LTD - See all 62 cars,Dealer locationStoke On Trent
75,Peugeot 207,2008 (58 reg),Full service history,"100,000 miles",1.4L,75BHP,Manual,Petrol,"£1,500",N/A,Hatchback,Jonathan Dawson Car Sales Ltd - See all 10 cars,Dealer locationLeeds
76,Renault Scenic,2011 (61 reg),N/A,"89,000 miles",1.5L,110PS,Manual,Diesel,"£1,250",N/A,MPV,Manchester Performance Cars Ltd - See all 40 cars,Dealer locationManchester
77,Ford Fiesta,2013 (13 reg),2 owners,"97,048 miles",1.25L,82PS,Manual,Petrol,"£2,050",N/A,Hatchback,,N/A
78,Subaru Impreza,2003 (53 reg),N/A,"137,000 miles",2.0L,221BHP,Manual,Petrol,"£1,000",N/A,Hatchback,,N/A
79,MINI Hatch,2011 (60 reg),N/A,"139,000 miles",1.6L,112PS,Manual,Diesel,£989,N/A,Hatchback,My Car UK - See all 48 cars,Dealer locationTamworth
80,Honda Accord,2011 (11 reg),N/A,"112,000 miles",2.2L,150PS,Manual,Diesel,"£2,490",N/A,Saloon,MI Motor Company - See all 7 cars,Dealer locationBirmingham
81,Ford Focus,2007 (57 reg),6 owners,"65,700 miles",1.8L,113BHP,Manual,Diesel,"£2,490",N/A,Hatchback,Munroe Vehicle Solutions - See all 11 cars,Dealer locationSheffield
82,Renault Captur,2019 (69 reg),N/A,"34,963 miles",0.9L,90BHP,Manual,Petrol,"£9,950",N/A,SUV,Bristol Street Motors Renault Leicester - See all 18 cars,Dealer locationLeicester
83,Nissan Qashqai,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
84,Citroen C1,2019 (19 reg),3 owners,"17,521 miles",1.0L,72PS,Manual,Petrol,"£8,280",N/A,Hatchback,Bristol Street Motors Vauxhall Knaresborough - See all 55 cars,Dealer locationKnaresborough
85,Vauxhall Corsa,2007 (07 reg),3 owners,"100,000 miles",1.2L,79BHP,Manual,Petrol,"£1,390",N/A,Hatchback,Joe's Cars Leeds - See all 9 cars,Dealer locationLeeds
86,Vauxhall Meriva,2007 (07 reg),N/A,"113,000 miles",1.6L,104BHP,Manual,Petrol,£595,N/A,MPV,B L MOTORS OVERSEAL LTD - See all 31 cars,Dealer locationSwadlincote
87,Vauxhall Corsa,2017 (17 reg),2 owners,"131,500 miles",1.0L,90PS,Manual,Petrol,"£2,499",N/A,Hatchback,Acorn Trade Cars - See all 32 cars,Dealer locationSheffield
88,Vauxhall Astra,2010 (60 reg),N/A,"94,000 miles",1.4L,89BHP,Manual,Petrol,"£1,795",N/A,Hatchback,Carsmart Automotive Ltd - See all 9 cars,Dealer locationOldbury
89,Mazda3,2010 (10 reg),N/A,"82,130 miles",2.2L,150PS,Manual,Diesel,£695,N/A,Hatchback,DUNSMORE MOTORZ LTD - See all 54 cars,Dealer locationCoventry
90,Honda Civic,2008 (58 reg),8 owners,"153,000 miles",2.2L,138BHP,Manual,Diesel,"£1,995",N/A,Hatchback,Wyke Motors - See all 23 cars,Dealer locationBradford
91,Ford Fiesta,2008 (57 reg),6 owners,"96,000 miles",1.6L,99BHP,Manual,Petrol,"£1,350",N/A,Hatchback,KP Motors - See all 9 cars,Dealer locationSheffield
92,Ford Focus,2009 (09 reg),5 owners,"115,000 miles",1.6L,108BHP,Manual,Diesel,"£1,700",N/A,Hatchback,SMS Motors - See all 12 cars,Dealer locationSheffield
93,Renault Clio,2007 (56 reg),5 owners,"138,061 miles",1.4L,98BHP,Manual,Petrol,£850,N/A,Hatchback,GENERAL MOTORS - See all 36 cars,Dealer locationBirmingham
94,Citroen C1,2011 (60 reg),2 owners,"86,000 miles",1.0L,68PS,Manual,Petrol,"£1,990",N/A,Hatchback,YORKSHIRE CAR SALES - See all 22 cars,Dealer locationWakefield
95,Citroen C4,2011 (61 reg),4 owners,"77,000 miles",1.6L,110PS,Automatic,Diesel,"£3,995",N/A,Hatchback,Car Sales Cleckheaton Limited - See all 32 cars,Dealer locationCleckheaton
96,Citroen C1,2019 (19 reg),3 owners,"17,521 miles",1.0L,72PS,Manual,Petrol,"£8,280",N/A,Hatchback,Bristol Street Motors Vauxhall Knaresborough - See all 55 cars,Dealer locationKnaresborough
97,Volkswagen ID.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
98,Mercedes-Benz A Class,2019 (69 reg),1 owner,"91,439 miles",1.5L,116PS,Automatic,Diesel,"£15,850",N/A,Saloon,Carsa - See all 193 cars,Dealer locationCollect from Bradford
99,Volkswagen Polo,2003 (52 reg),6 owners,"75,200 miles",1.4L,75BHP,Manual,Petrol,£995,N/A,Hatchback,Batley Motors Limited - See all 23 cars,Dealer locationBatley
100,Renault Clio,2006 (06 reg),4 owners,"93,700 miles",1.4L,98BHP,Manual,Petrol,"£1,250",N/A,Hatchback,Parkside Motor Store - See all 347 cars,Dealer locationBolton
101,Ford Fusion,2003 (53 reg),9 owners,"103,000 miles",1.4L,79BHP,Manual,Petrol,£795,N/A,Hatchback,RMC Reddish Motor Company - See all 22 cars,Dealer locationStockport
102,Vauxhall Corsa,2007 (57 reg),15 owners,"80,000 miles",1.4L,89BHP,Automatic,Petrol,£700,Cat D,Hatchback,Sansa London - See all 14 cars,Dealer locationHounslow
103,Ford KA,2005 (55 reg),N/A,"99,888 miles",1.3L,69BHP,Manual,Petrol,£697,N/A,Hatchback,My Car UK - See all 48 cars,Dealer locationTamworth
104,Fiat Grande Punto,2008 (58 reg),4 owners,"81,000 miles",1.4L,96PS,Manual,Petrol,"£1,795",N/A,Hatchback,Select Car Sales - See all 21 cars,Dealer locationOldham
105,Peugeot 208,2013 (62 reg),N/A,"97,000 miles",1.4L,68PS,Manual,Diesel,"£2,500",N/A,Hatchback,H&A Car Sales - See all 28 cars,Dealer locationSheffield
106,Ford Mondeo,2013 (63 reg),2 owners,"164,457 miles",2.0L,140PS,Manual,Diesel,£795,Cat N,Hatchback,A Car Sales - See all 12 cars,Dealer locationBirmingham
107,Nissan Pixo,2010 (10 reg),N/A,"160,000 miles",1.0L,68PS,Manual,Petrol,"£1,095",N/A,Hatchback,APEX Motor Company - See all 18 cars,Dealer locationRotherham
108,Volkswagen Polo,2011 (11 reg),2 owners,"154,078 miles",1.2L,75PS,Manual,Diesel,"£1,995",N/A,Hatchback,,N/A
109,Ford Focus,2007 (57 reg),6 owners,"65,700 miles",1.8L,113BHP,Manual,Diesel,"£2,490",N/A,Hatchback,Munroe Vehicle Solutions - See all 11 cars,Dealer locationSheffield
110,Mercedes-Benz A Class,2019 (69 reg),1 owner,"91,439 miles",1.5L,116PS,Automatic,Diesel,"£15,850",N/A,Saloon,Carsa - See all 193 cars,Dealer locationCollect from Bradford
111,SKODA Enyaq,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
112,Renault Captur,2019 (69 reg),N/A,"34,963 miles",0.9L,90BHP,Manual,Petrol,"£9,950",N/A,SUV,Bristol Street Motors Renault Leicester - See all 18 cars,Dealer locationLeicester
113,Toyota Yaris,2006 (55 reg),N/A,"175,000 miles",1.3L,85BHP,Manual,Petrol,£995,N/A,Hatchback,No. 1 CAR SALES - See all 8 cars,Dealer locationBirmingham
114,Ford Focus,2009 (09 reg),N/A,"117,000 miles",1.6L,99BHP,Manual,Petrol,"£1,495",N/A,Hatchback,Ultimate Drive - See all 37 cars,Dealer locationDewsbury
115,Subaru Impreza,2001 (Y reg),N/A,"107,000 miles",2.0L,215BHP,Manual,Petrol,"£6,295",N/A,Saloon,LA Automotive - See all 19 cars,Dealer locationBirmingham
116,Volkswagen Scirocco,2011 (11 reg),N/A,"116,948 miles",1.4L,160PS,Manual,Petrol,"£2,499",N/A,Hatchback,Motor Moment Limited - See all 12 cars,Dealer locationManchester
117,Vauxhall Corsa,2011 (61 reg),3 owners,"88,000 miles",1.7L,128BHP,Manual,Diesel,"£2,995",N/A,Hatchback,Ghost Motors LTD - See all 36 cars,Dealer locationCleckheaton
118,Fiat 500,2010 (10 reg),N/A,"102,000 miles",1.2L,70PS,Manual,Petrol,"£1,250",Cat N,Hatchback,QC Trade Centre - See all 41 cars,Dealer locationRotherham
119,Nissan Qashqai,2011 (11 reg),7 owners,"101,426 miles",1.5L,110PS,Manual,Diesel,"£2,500",N/A,SUV,Pavilion Motors - See all 176 cars,Dealer locationOldham
120,Honda Cr-V,2007 (56 reg),N/A,"175,000 miles",2.2L,138BHP,Manual,Diesel,"£1,250",N/A,SUV,No. 1 CAR SALES - See all 8 cars,Dealer locationBirmingham
121,Volkswagen Tiguan,2013 (13 reg),N/A,"78,386 miles",2.0L,140PS,Manual,Diesel,"£7,990",N/A,SUV,Motorgurus - See all 104 cars,Dealer locationSheffield
122,SEAT Ibiza,2010 (10 reg),N/A,"109,000 miles",1.6L,105PS,Manual,Diesel,"£2,195",N/A,Hatchback,LA Automotive - See all 19 cars,Dealer locationBirmingham
123,BMW Alpina B10,2003 (52 reg),N/A,Full service history,N/A,N/A,N/A,N/A,"£5,995",N/A,"123,000 miles",Unique Motors - See all 22 cars,Dealer locationCastleford
124,Renault Captur,2019 (69 reg),N/A,"34,963 miles",0.9L,90BHP,Manual,Petrol,"£9,950",N/A,SUV,Bristol Street Motors Renault Leicester - See all 18 cars,Dealer locationLeicester
125,SKODA Enyaq,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
126,KIA Stonic,2018 (18 reg),2 owners,"43,671 miles",1.4L,99PS,Manual,Petrol,"£11,255",N/A,SUV,Carsa - See all 193 cars,Dealer locationCollect from Bradford
127,SEAT Ibiza,2009 (59 reg),N/A,"92,000 miles",1.6L,105PS,Manual,Diesel,"£2,500",N/A,Hatchback,RUTLAND MOTOR COMPANY - See all 97 cars,Dealer locationSheffield
128,Vauxhall Corsa,2013 (13 reg),2 owners,"125,938 miles",1.3L,95PS,Manual,Diesel,"£1,695",N/A,Hatchback,Burton Cheap Cars - See all 57 cars,Dealer locationBurton On Trent
129,Vauxhall Vectra,2008 (58 reg),4 owners,"98,434 miles",1.8L,138BHP,Manual,Petrol,£995,N/A,Hatchback,Burton Cheap Cars - See all 57 cars,Dealer locationBurton On Trent
130,Vauxhall Astra,2010 (60 reg),N/A,"81,082 miles",1.4L,89BHP,Manual,Petrol,"£2,495",N/A,Hatchback,UK MOTORS N LIMITED - See all 56 cars,Dealer locationLeicester
131,KIA Picanto,2005 (05 reg),4 owners,"71,000 miles",1.0L,60BHP,Manual,Petrol,£400,N/A,Hatchback,Blue Ice Motors Limited - See all 23 cars,Dealer locationLeicester
132,Fiat 500,2009 (59 reg),N/A,"88,000 miles",1.2L,70PS,Manual,Petrol,"£2,495",N/A,Hatchback,Ghost Motors LTD - See all 36 cars,Dealer locationCleckheaton
133,Vauxhall Astra,2009 (59 reg),6 owners,"89,651 miles",1.6L,113BHP,Manual,Petrol,"£1,395",N/A,Hatchback,Richmond Car Sales - See all 50 cars,Dealer locationHyde
134,Peugeot 207,2010 (10 reg),4 owners,"88,000 miles",1.4L,75PS,Manual,Petrol,"£1,495",N/A,Hatchback,Select Car Sales - See all 21 cars,Dealer locationOldham
135,SKODA Rapid Spaceback,2014 (63 reg),4 owners,"81,000 miles",1.2L,104BHP,Manual,Petrol,"£3,500",N/A,Hatchback,Trade Cars Burnley - See all 19 cars,Dealer locationBurnley
136,Honda Civic,2007 (57 reg),4 owners,"125,000 miles",2.2L,138BHP,Manual,Diesel,"£1,095",N/A,Hatchback,D C CARS SWAPSHOP - See all 14 cars,Dealer locationSheffield
137,Vauxhall Corsa,2011 (11 reg),4 owners,"88,000 miles",1.4L,100PS,Manual,Petrol,"£2,750",N/A,Hatchback,Car Sales Cleckheaton Limited - See all 32 cars,Dealer locationCleckheaton
138,Mercedes-Benz A Class,2019 (69 reg),1 owner,"91,439 miles",1.5L,116PS,Automatic,Diesel,"£15,850",N/A,Saloon,Carsa - See all 193 cars,Dealer locationCollect from Bradford
139,Tesla Model 3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
140,Renault Captur,2019 (69 reg),N/A,"34,963 miles",0.9L,90BHP,Manual,Petrol,"£9,950",N/A,SUV,Bristol Street Motors Renault Leicester - See all 18 cars,Dealer locationLeicester
141,Citroen C3,2007 (07 reg),1 owner,"110,180 miles",1.4L,67BHP,Manual,Diesel,"£1,290",N/A,Hatchback,Jap Autos LTD - See all 16 cars,Dealer locationAccrington
142,Fiat 500,2010 (10 reg),6 owners,"93,000 miles",1.2L,70PS,Manual,Petrol,"£1,995",N/A,Hatchback,The Motor Max - See all 7 cars,Dealer locationNottingham
143,Vauxhall Astra,2010 (60 reg),N/A,"99,000 miles",1.6L,115PS,Manual,Petrol,"£2,499",N/A,Hatchback,Selekt Cars - See all 2 cars,Dealer locationHounslow
144,Hyundai Getz,2004 (54 reg),5 owners,"103,764 miles",1.1L,62BHP,Manual,Petrol,£695,N/A,Hatchback,Budget Car Sales - See all 5 cars,Dealer locationBradford
145,Honda Cr-V,2008 (57 reg),6 owners,"142,222 miles",2.0L,148BHP,Manual,Petrol,"£1,400",N/A,SUV,Vogue Auto Group - See all 31 cars,Dealer locationSutton In Ashfield
146,Ford Focus,2009 (09 reg),3 owners,"111,644 miles",1.6L,99BHP,Manual,Petrol,£995,N/A,Hatchback,Midland Cars - See all 32 cars,Dealer locationNottingham
147,Vauxhall Corsa,2011 (61 reg),3 owners,"107,000 miles",1.4L,100PS,Manual,Petrol,£995,N/A,Hatchback,SPRINGALLS CAR SALES LTD - See all 13 cars,Dealer locationReading
148,MINI Hatch,2004 (04 reg),N/A,"98,000 miles",1.6L,115PS,Automatic,Petrol,"£1,395",N/A,Hatchback,MWK Motors Limited - See all 3 cars,Dealer locationBirmingham
