,name,year,owners,mileage,litres,BHP,transmission,fuel,price,write_off_category,vehicle_type,seller_name,location
0,Ford Fiesta,2011 (61 reg),2 owners,"44,000 miles",1.25L,81BHP,Manual,Petrol,"£5,499",N/A,Hatchback,Alex Scott Cramlington - See all 40 cars,Dealer locationCramlington
1,Jaguar X-Type,2006 (06 reg),N/A,"98,000 miles",2.0L,130BHP,Manual,Diesel,£500,N/A,Saloon,North East Part Exchange Centre - See all 45 cars,Dealer locationGateshead
2,Subaru Impreza,2003 (53 reg),N/A,"137,000 miles",2.0L,221BHP,Manual,Petrol,"£1,000",N/A,Hatchback,,N/A
3,Ford B-Max,2012 (62 reg),2 owners,"111,467 miles",1.0L,100PS,Manual,Petrol,"£1,000",N/A,MPV,Motor Plug - See all 28 cars,Dealer locationStockton On Tees
4,Vauxhall Corsa,2006 (06 reg),4 owners,"75,000 miles",1.2L,79BHP,Manual,Petrol,£500,N/A,Hatchback,Tamworth Road Cars - See all 12 cars,Dealer locationNottingham
5,Dacia Sandero Stepway,2014 (14 reg),N/A,"127,000 miles",0.9L,90BHP,Manual,Petrol,"£1,150",N/A,Hatchback,Autopark UK - See all 168 cars,Dealer locationMeadowfield
6,Mercedes-Benz B Class,2007 (07 reg),2 owners,"92,000 miles",2.0L,139BHP,Automatic,Diesel,"£1,200",N/A,MPV,North East Part Exchange Centre - See all 45 cars,Dealer locationGateshead
7,Vauxhall Corsa,2010 (10 reg),N/A,"83,000 miles",1.7L,128BHP,Manual,Diesel,"£2,799",N/A,Hatchback,DTM Cars Ltd - See all 32 cars,Dealer locationNewcastle Upon Tyne
8,Vauxhall Corsa,2017 (17 reg),1 owner,"72,482 miles",1.3L,95PS,Manual,Diesel,"£2,495",N/A,Hatchback,,N/A
9,Hyundai i10,2013 (63 reg),N/A,"86,000 miles",1.2L,85BHP,Manual,Petrol,"£1,550",N/A,Hatchback,Autopark UK - See all 168 cars,Dealer locationMeadowfield
10,Ford Focus,2009 (09 reg),7 owners,"141,000 miles",1.6L,108BHP,Manual,Diesel,£595,N/A,Hatchback,Sm Car Sales - See all 51 cars,Dealer locationMorecambe
11,SEAT Exeo,2011 (11 reg),3 owners,"95,424 miles",2.0L,170PS,Manual,Diesel,"£3,990",N/A,Saloon,Motor Plug - See all 28 cars,Dealer locationStockton On Tees
12,Ford Ecosport,2018 (18 reg),1 owner,"9,000 miles",1.0L,125PS,Manual,Petrol,"£11,799",N/A,SUV,Alex Scott Guidepost - See all 55 cars,Dealer locationChoppington
13,Vauxhall Corsa,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
14,Ford Puma,2020 (20 reg),1 owner,"34,000 miles",1.0L,125PS,Manual,Petrol,"£16,999",N/A,SUV,Alex Scott Cramlington - See all 40 cars,Dealer locationCramlington
15,Honda Accord,2010 (10 reg),N/A,"319,000 miles",2.0L,156PS,Manual,Petrol,£995,Cat S,Saloon,Clifby Motor Centre - See all 24 cars,Dealer locationHalifax
16,SKODA Octavia,2009 (09 reg),1 owner,"151,000 miles",2.0L,140PS,Manual,Diesel,"£1,599",N/A,Estate,F&G Car Centre - See all 13 cars,Dealer locationDurham
17,Vauxhall Corsa,2008 (08 reg),1 owner,"77,000 miles",1.2L,79BHP,Manual,Petrol,"£1,995",N/A,Hatchback,Drivehub Ltd - See all 19 cars,Dealer locationRochdale
18,Ford Fiesta,2007 (57 reg),2 owners,"80,000 miles",1.2L,78BHP,Manual,Petrol,"£1,150",N/A,Hatchback,Autopark UK - See all 168 cars,Dealer locationMeadowfield
19,Hyundai Atoz,1999 (V reg),N/A,"100,000 miles",1.0L,55BHP,Manual,Petrol,£300,N/A,Hatchback,Castle Motors - See all 19 cars,Dealer locationLeeds
20,MG ZT,2004 (54 reg),12 owners,"122,000 miles",2.5L,188BHP,Manual,Petrol,£995,N/A,Saloon,Esh Auto Dealz - See all 23 cars,Dealer locationDurham
21,Mazda3,2016 (16 reg),3 owners,"99,500 miles",2.2L,150PS,Manual,Diesel,"£2,495",Cat C,Hatchback,PCS Piccadilly Car Sales LTD - See all 47 cars,Dealer locationWakefield
22,MINI Hatch,2006 (06 reg),N/A,"107,390 miles",1.6L,118PS,Manual,Petrol,£500,N/A,Hatchback,J.A Motors Ltd - See all 42 cars,Dealer locationKeighley
23,Subaru Impreza,2006 (56 reg),N/A,"65,000 miles",2.0L,158BHP,Manual,Petrol,"£4,995",N/A,Saloon,Wyke Motors - See all 23 cars,Dealer locationBradford
24,Citroen Xsara Picasso,2008 (08 reg),4 owners,"97,000 miles",1.6L,110BHP,Manual,Petrol,£795,N/A,MPV,Esh Auto Dealz - See all 23 cars,Dealer locationDurham
25,SEAT Exeo,2011 (11 reg),3 owners,"95,424 miles",2.0L,170PS,Manual,Diesel,"£3,990",N/A,Saloon,Motor Plug - See all 28 cars,Dealer locationStockton On Tees
26,Ford Fiesta,2011 (61 reg),2 owners,"44,000 miles",1.25L,81BHP,Manual,Petrol,"£5,499",N/A,Hatchback,Alex Scott Cramlington - See all 40 cars,Dealer locationCramlington
27,SEAT Arona,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
28,Ford Fiesta,2011 (61 reg),2 owners,"44,000 miles",1.25L,81BHP,Manual,Petrol,"£5,499",N/A,Hatchback,Alex Scott Cramlington - See all 40 cars,Dealer locationCramlington
29,Nissan Cube,2010 (60 reg),N/A,"120,000 miles",1.6L,108BHP,Manual,Petrol,"£2,490",N/A,Hatchback,One Oak Motor Company - See all 42 cars,Dealer locationNewcastle Upon Tyne
30,Suzuki Swift,2009 (09 reg),N/A,"71,500 miles",1.3L,91BHP,Manual,Petrol,"£1,750",N/A,Hatchback,Autopark UK - See all 168 cars,Dealer locationMeadowfield
31,Vauxhall Corsa,2010 (60 reg),4 owners,"106,000 miles",1.3L,74BHP,Manual,Diesel,"£1,795",N/A,Hatchback,Esh Auto Dealz - See all 23 cars,Dealer locationDurham
32,Renault Clio,2006 (56 reg),5 owners,"115,000 miles",1.5L,86BHP,Manual,Diesel,£995,N/A,Hatchback,Budget Car Sales - See all 5 cars,Dealer locationBradford
33,Volvo S40,2008 (08 reg),N/A,"109,000 miles",1.6L,109BHP,Manual,Diesel,"£1,050",N/A,Saloon,Autopark UK - See all 168 cars,Dealer locationMeadowfield
34,Volvo S40,2010 (60 reg),N/A,"86,000 miles",1.6L,100BHP,Manual,Petrol,"£2,300",N/A,Saloon,Autopark UK - See all 168 cars,Dealer locationMeadowfield
35,Jeep Patriot,2008 (08 reg),4 owners,"153,726 miles",2.0L,138BHP,Manual,Diesel,"£1,450",N/A,SUV,Neon Motor Company Ltd - See all 37 cars,Dealer locationBradford
36,Vauxhall Corsa,2009 (09 reg),5 owners,"130,000 miles",1.6L,148BHP,Manual,Petrol,£995,N/A,Hatchback,,N/A
37,Renault Wind,2011 (11 reg),Part service history,"58,741 miles",1.2L,100PS,Manual,Petrol,"£1,995",Cat D,Convertible,First Choice Car Sales - See all 22 cars,Dealer locationLiverpool
38,Hyundai Getz,2009 (58 reg),N/A,"50,000 miles",1.4L,96BHP,Manual,Petrol,"£1,150",N/A,Hatchback,Autopark UK - See all 168 cars,Dealer locationMeadowfield
39,Ford B-Max,2012 (62 reg),2 owners,"111,467 miles",1.0L,100PS,Manual,Petrol,"£1,000",N/A,MPV,Motor Plug - See all 28 cars,Dealer locationStockton On Tees
40,MG MG Hs,2020 (20 reg),1 owner,"26,000 miles",1.5L,162PS,Automatic,Petrol,"£17,499",N/A,SUV,Alex Scott Cramlington - See all 40 cars,Dealer locationCramlington
41,Volkswagen T-Cross,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
42,Ford Fiesta,2011 (61 reg),2 owners,"44,000 miles",1.25L,81BHP,Manual,Petrol,"£5,499",N/A,Hatchback,Alex Scott Cramlington - See all 40 cars,Dealer locationCramlington
43,Volkswagen EOS,2008 (08 reg),N/A,"95,000 miles",2.0L,138BHP,Manual,Diesel,"£1,150",N/A,Convertible,Autopark UK - See all 168 cars,Dealer locationMeadowfield
44,Volkswagen Golf,2007 (07 reg),N/A,"123,000 miles",1.9L,103BHP,Manual,Diesel,£850,N/A,Hatchback,Pavilion Motors - See all 176 cars,Dealer locationOldham
45,Volkswagen Golf,2007 (07 reg),4 owners,"133,203 miles",1.4L,79BHP,Manual,Petrol,£775,N/A,Hatchback,,N/A
46,Daihatsu Copen,2004 (04 reg),7 owners,"91,000 miles",0.66L,67BHP,Manual,Petrol,"£1,795",N/A,Convertible,Esh Auto Dealz - See all 23 cars,Dealer locationDurham
47,Vauxhall Astra,2013 (63 reg),4 owners,"94,796 miles",1.6L,113BHP,Manual,Petrol,"£2,000",Cat N,Hatchback,Trade Cars Burnley - See all 19 cars,Dealer locationBurnley
48,Renault Grand Scenic,2008 (08 reg),5 owners,"109,300 miles",1.6L,111BHP,Manual,Petrol,"£1,299",N/A,Hatchback,Feel Good Autos Limited - See all 35 cars,Dealer locationNewcastle Upon Tyne
49,Mercedes-Benz C Class,2004 (54 reg),No service history,"205,008 miles",2.1L,122BHP,Manual,Diesel,£799,N/A,Estate,The One Stop Motor Shop - See all 21 cars,Dealer locationBlackburn
50,Dacia Sandero Stepway,2014 (14 reg),N/A,"99,000 miles",0.9L,90BHP,Manual,Petrol,"£1,350",N/A,Hatchback,Autopark UK - See all 168 cars,Dealer locationMeadowfield
51,Saab 9-5,2009 (09 reg),N/A,"107,873 miles",1.9L,150BHP,Manual,Diesel,£790,Cat S,Saloon,Century Motors Ltd Est 1958 - See all 53 cars,Dealer locationSheffield
52,Suzuki Swift,2014 (14 reg),3 owners,"130,000 miles",1.2L,94PS,Manual,Petrol,"£2,495",N/A,Hatchback,Esh Auto Dealz - See all 23 cars,Dealer locationDurham
53,Citroen Saxo,2002 (52 reg),4 owners,"59,500 miles",1.6L,120BHP,Manual,Petrol,"£6,988",N/A,Hatchback,Get Car Finance Here - See all 21 cars,Dealer locationBarnoldswick
54,Ford Fiesta,2011 (61 reg),2 owners,"44,000 miles",1.25L,81BHP,Manual,Petrol,"£5,499",N/A,Hatchback,Alex Scott Cramlington - See all 40 cars,Dealer locationCramlington
55,Vauxhall Astra,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
56,Vauxhall Crossland,2021 (21 reg),N/A,"41,957 miles",1.2L,110PS,Manual,Petrol,"£13,800",N/A,SUV,Bristol Street Motors Vauxhall Newcastle - See all 41 cars,Dealer locationNewcastle Upon Tyne
57,Fiat Punto Evo,2010 (10 reg),N/A,"75,000 miles",1.4L,135BHP,Manual,Petrol,"£1,950",N/A,Hatchback,Autopark UK - See all 168 cars,Dealer locationMeadowfield
58,Vauxhall Astra,2009 (59 reg),Part service history,"100,287 miles",1.8L,138BHP,Manual,Petrol,"£2,290",N/A,Hatchback,Car Bazaar Ltd - See all 23 cars,Dealer locationSheffield
59,Ford Focus C-Max,2005 (55 reg),8 owners,"135,000 miles",1.6L,99BHP,Manual,Petrol,£600,N/A,MPV,J D Haynes Car Sales - See all 7 cars,Dealer locationCastleford
60,Ford Mondeo,2012 (12 reg),N/A,"131,000 miles",1.6L,114BHP,Manual,Diesel,"£1,550",N/A,Hatchback,Autopark UK - See all 168 cars,Dealer locationMeadowfield
61,Audi A3,2009 (59 reg),3 owners,"148,020 miles",2.0L,138BHP,Automatic,Diesel,"£3,290",N/A,Hatchback,Alpha Motors - See all 67 cars,Dealer locationWigan
62,Mercedes-Benz C Class,2008 (08 reg),2 owners,"167,897 miles",2.1L,136PS,Automatic,Diesel,"£1,999",N/A,Saloon,Revolve Collections Ltd - See all 19 cars,Dealer locationBirmingham
63,Citroen DS3,2013 (13 reg),2 owners,"121,977 miles",1.6L,92PS,Manual,Diesel,"£2,999",N/A,Hatchback,Banks Of The Tyne Motor Company - See all 26 cars,Dealer locationHebburn
64,Ford Fiesta,2009 (09 reg),N/A,"85,000 miles",1.6L,118BHP,Manual,Petrol,"£2,999",N/A,Hatchback,TEESSIDE MOTORS NE LTD - See all 9 cars,Dealer locationStockton On Tees
65,BMW 1 Series,2008 (08 reg),10 owners,"101,198 miles",1.6L,124PS,Manual,Petrol,"£2,500",N/A,Hatchback,Banks Of The Tyne Motor Company - See all 26 cars,Dealer locationHebburn
66,SKODA Rapid Spaceback,2014 (63 reg),4 owners,"81,000 miles",1.2L,104BHP,Manual,Petrol,"£3,500",N/A,Hatchback,Trade Cars Burnley - See all 19 cars,Dealer locationBurnley
67,Ford B-Max,2013 (63 reg),2 owners,"61,923 miles",1.5L,75PS,Manual,Diesel,"£5,375",N/A,MPV,Rubber Duck Cars Ltd - See all 76 cars,Dealer locationNorth Shields
68,Vauxhall Crossland,2021 (21 reg),N/A,"41,957 miles",1.2L,110PS,Manual,Petrol,"£13,800",N/A,SUV,Bristol Street Motors Vauxhall Newcastle - See all 41 cars,Dealer locationNewcastle Upon Tyne
69,SKODA Octavia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
70,Vauxhall Adam,2015 (15 reg),2 owners,"65,000 miles",1.4L,150PS,Manual,Petrol,"£7,499",N/A,Hatchback,Alex Scott Guidepost - See all 55 cars,Dealer locationChoppington
71,Ford Fiesta,2007 (07 reg),7 owners,"99,000 miles",1.25L,74BHP,Manual,Petrol,"£1,290",N/A,Hatchback,A & S Motors - See all 25 cars,Dealer locationWalsall
72,Vauxhall Zafira,2013 (62 reg),N/A,"103,000 miles",1.6L,113BHP,Manual,Petrol,"£1,550",N/A,MPV,Autopark UK - See all 168 cars,Dealer locationMeadowfield
73,Vauxhall Corsa,2007 (07 reg),3 owners,"100,000 miles",1.2L,79BHP,Manual,Petrol,"£1,390",N/A,Hatchback,Joe's Cars Leeds - See all 9 cars,Dealer locationLeeds
74,Mercedes-Benz Clc Class,2008 (08 reg),4 owners,"110,000 miles",1.8L,184PS,Automatic,Petrol,"£1,499",N/A,Hatchback,Manor Motors - See all 19 cars,Dealer locationCastleford
75,Peugeot 207,2008 (58 reg),Full service history,"100,000 miles",1.4L,75BHP,Manual,Petrol,"£1,500",N/A,Hatchback,Jonathan Dawson Car Sales Ltd - See all 10 cars,Dealer locationLeeds
76,SKODA Fabia,2009 (59 reg),3 owners,"90,113 miles",1.2L,70BHP,Manual,Petrol,£500,N/A,Hatchback,Star City Motors Ltd - See all 9 cars,Dealer locationBirmingham
77,Citroen C3,2007 (07 reg),1 owner,"110,180 miles",1.4L,67BHP,Manual,Diesel,"£1,290",N/A,Hatchback,Jap Autos LTD - See all 16 cars,Dealer locationAccrington
78,Honda Civic,2008 (58 reg),8 owners,"153,000 miles",2.2L,138BHP,Manual,Diesel,"£1,995",N/A,Hatchback,Wyke Motors - See all 23 cars,Dealer locationBradford
79,SEAT Ibiza,2013 (63 reg),N/A,"80,570 miles",1.2L,68BHP,Manual,Petrol,"£3,990",N/A,Hatchback,Monument Cars - See all 13 cars,Dealer locationHoughton Le Spring
80,Volkswagen Polo,2011 (11 reg),2 owners,"154,078 miles",1.2L,75PS,Manual,Diesel,"£1,995",N/A,Hatchback,,N/A
81,SEAT Toledo,2014 (14 reg),N/A,"61,140 miles",1.2L,105BHP,Manual,Petrol,"£5,695",N/A,Hatchback,AAA Car Sale Ltd - See all 120 cars,Dealer locationDarlington
82,Vauxhall Adam,2015 (15 reg),2 owners,"65,000 miles",1.4L,150PS,Manual,Petrol,"£7,499",N/A,Hatchback,Alex Scott Guidepost - See all 55 cars,Dealer locationChoppington
83,Nissan Qashqai,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
84,Vauxhall Crossland,2021 (21 reg),N/A,"41,957 miles",1.2L,110PS,Manual,Petrol,"£13,800",N/A,SUV,Bristol Street Motors Vauxhall Newcastle - See all 41 cars,Dealer locationNewcastle Upon Tyne
85,Volkswagen Golf Plus,2007 (07 reg),3 owners,"118,000 miles",2.0L,138BHP,Automatic,Diesel,"£1,500",N/A,Hatchback,AA Cars - See all 39 cars,Dealer locationKeighley
86,Peugeot 208,2014 (14 reg),Full service history,"72,000 miles",1.0L,68PS,Manual,Petrol,"£3,900",N/A,Hatchback,VS Car Sales Ltd - See all 17 cars,Dealer locationManchester
87,KIA Soul,2012 (12 reg),4 owners,"119,099 miles",1.6L,140PS,Manual,Petrol,"£3,500",N/A,SUV,Feel Good Autos Limited - See all 35 cars,Dealer locationNewcastle Upon Tyne
88,Fiat 500,2010 (10 reg),4 owners,"102,000 miles",1.2L,70PS,Manual,Petrol,"£2,450",N/A,Hatchback,North Car Sales - See all 11 cars,Dealer locationCheadle
89,Peugeot 607,2002 (52 reg),2 owners,"137,572 miles",2.0L,136BHP,Manual,Petrol,£745,N/A,Saloon,Pavilion Motors - See all 176 cars,Dealer locationOldham
90,Mercedes-Benz C Class,2016 (16 reg),2 owners,"140,000 miles",1.6L,136PS,Automatic,Diesel,"£10,250",N/A,Saloon,Zoemick Commercials - See all cars,Dealer locationChester Le Street
91,Ford KA,2009 (09 reg),4 owners,"81,000 miles",1.2L,69PS,Manual,Petrol,"£2,195",N/A,Hatchback,Art Motor Group - See all 9 cars,Dealer locationWakefield
92,Vauxhall Corsa,2008 (58 reg),3 owners,"97,501 miles",1.2L,79BHP,Manual,Petrol,"£1,595",N/A,Hatchback,Midland Cars - See all 32 cars,Dealer locationNottingham
93,Hyundai Getz,2004 (54 reg),5 owners,"103,764 miles",1.1L,62BHP,Manual,Petrol,£695,N/A,Hatchback,Budget Car Sales - See all 5 cars,Dealer locationBradford
94,Vauxhall Corsa,2012 (12 reg),3 owners,"68,911 miles",1.3L,75PS,Manual,Diesel,"£1,299",N/A,Hatchback,North West Autos Blackburn - See all 470 cars,Dealer locationBlackburn
95,Ford Fiesta,2016 (16 reg),4 owners,"60,297 miles",1.5L,95PS,Manual,Diesel,"£8,180",N/A,Hatchback,Rubber Duck Cars Ltd - See all 76 cars,Dealer locationNorth Shields
96,Vauxhall Crossland,2021 (21 reg),N/A,"41,957 miles",1.2L,110PS,Manual,Petrol,"£13,800",N/A,SUV,Bristol Street Motors Vauxhall Newcastle - See all 41 cars,Dealer locationNewcastle Upon Tyne
97,Volkswagen ID.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
98,MG MG Hs,2020 (20 reg),1 owner,"26,000 miles",1.5L,162PS,Automatic,Petrol,"£17,499",N/A,SUV,Alex Scott Cramlington - See all 40 cars,Dealer locationCramlington
99,Ford Mondeo,2009 (59 reg),3 owners,"111,000 miles",1.8L,123BHP,Manual,Diesel,"£1,295",N/A,Hatchback,Esh Auto Dealz - See all 23 cars,Dealer locationDurham
100,Vauxhall Astra,2011 (11 reg),6 owners,"128,000 miles",1.4L,99BHP,Manual,Petrol,"£2,000",N/A,Hatchback,Trade Cars Burnley - See all 19 cars,Dealer locationBurnley
101,Volkswagen Golf,2010 (10 reg),4 owners,"91,000 miles",1.4L,122PS,Automatic,Petrol,"£3,999",N/A,Hatchback,,N/A
102,Volkswagen Golf,2011 (11 reg),N/A,"157,000 miles",1.6L,105PS,Manual,Diesel,"£2,495",N/A,Hatchback,Northern Motor House - See all 30 cars,Dealer locationShipley
103,Nissan Micra,2005 (05 reg),N/A,"54,000 miles",1.2L,80BHP,Manual,Petrol,"£1,350",N/A,Hatchback,Autopark UK - See all 168 cars,Dealer locationMeadowfield
104,Renault Clio,2006 (06 reg),4 owners,"93,700 miles",1.4L,98BHP,Manual,Petrol,"£1,250",N/A,Hatchback,Parkside Motor Store - See all 347 cars,Dealer locationBolton
105,Toyota Avensis,2010 (60 reg),No service history,"200,133 miles",2.0L,126PS,Manual,Diesel,£990,Cat S,Saloon,OLIX MOTORS LIMITED - See all 146 cars,Dealer locationNelson
106,Volkswagen Polo,2003 (52 reg),6 owners,"75,200 miles",1.4L,75BHP,Manual,Petrol,£995,N/A,Hatchback,Batley Motors Limited - See all 23 cars,Dealer locationBatley
107,Honda Civic,2002 (52 reg),7 owners,"112,565 miles",1.4L,89BHP,Automatic,Petrol,£650,N/A,Hatchback,J.A Motors Ltd - See all 42 cars,Dealer locationKeighley
108,Ford Focus,2010 (10 reg),N/A,"119,600 miles",1.6L,99BHP,Manual,Petrol,"£1,850",N/A,Hatchback,IN BUDGET - See all 6 cars,Dealer locationBurnley
109,Vauxhall Zafira,2014 (14 reg),2 owners,"60,784 miles",1.8L,140PS,Manual,Petrol,"£5,990",N/A,MPV,Motor Plug - See all 28 cars,Dealer locationStockton On Tees
110,Ford Ecosport,2018 (18 reg),1 owner,"9,000 miles",1.0L,125PS,Manual,Petrol,"£11,799",N/A,SUV,Alex Scott Guidepost - See all 55 cars,Dealer locationChoppington
111,SKODA Enyaq,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
112,Vauxhall Mokka,2014 (14 reg),3 owners,"70,000 miles",1.6L,115PS,Manual,Petrol,"£6,299",N/A,SUV,Alex Scott Cramlington - See all 40 cars,Dealer locationCramlington
113,Audi A4 Avant,2007 (07 reg),N/A,"106,209 miles",2.0L,128BHP,Manual,Petrol,"£1,399",N/A,Estate,North West Autos Blackburn - See all 470 cars,Dealer locationBlackburn
114,Volkswagen Golf,2007 (57 reg),5 owners,"129,000 miles",2.0L,138BHP,Manual,Diesel,"£1,550",N/A,Hatchback,,N/A
115,Hyundai Coupe,2001 (Y reg),5 owners,"73,561 miles",2.0L,137BHP,Automatic,Petrol,£899,N/A,Coupe,CARS WITH CHARACTOR LIMITED T/A Click Car - See all 20 cars,Dealer locationStockport
116,Renault Scenic,2011 (61 reg),N/A,"89,000 miles",1.5L,110PS,Manual,Diesel,"£1,250",N/A,MPV,Manchester Performance Cars Ltd - See all 40 cars,Dealer locationManchester
117,Renault Clio,2011 (11 reg),4 owners,"80,000 miles",1.2L,75PS,Manual,Petrol,"£2,190",N/A,Hatchback,Joe's Cars Leeds - See all 9 cars,Dealer locationLeeds
118,Ford Fiesta,2007 (07 reg),4 owners,"111,875 miles",1.4L,79BHP,Manual,Petrol,£499,N/A,Hatchback,GENERAL MOTORS - See all 36 cars,Dealer locationBirmingham
119,Vauxhall Corsa,2011 (61 reg),3 owners,"88,000 miles",1.7L,128BHP,Manual,Diesel,"£2,995",N/A,Hatchback,Ghost Motors LTD - See all 36 cars,Dealer locationCleckheaton
120,SEAT Ibiza,2012 (12 reg),N/A,"77,000 miles",1.2L,105PS,Manual,Petrol,"£4,495",N/A,Hatchback,MOTOR PLOT TEESSIDE LTD - See all 19 cars,Dealer locationMiddlesbrough
121,Ford Focus,2007 (57 reg),Full service history,"85,000 miles",1.6L,99BHP,Manual,Petrol,"£1,300",N/A,Hatchback,,N/A
122,Vauxhall Insignia,2013 (63 reg),3 owners,"200,776 miles",2.0L,163PS,Automatic,Diesel,"£1,080",N/A,Hatchback,J.A Motors Ltd - See all 42 cars,Dealer locationKeighley
123,Vauxhall Zafira,2014 (14 reg),2 owners,"60,784 miles",1.8L,140PS,Manual,Petrol,"£5,990",N/A,MPV,Motor Plug - See all 28 cars,Dealer locationStockton On Tees
124,Honda Cr-V,2017 (67 reg),2 owners,"44,000 miles",2.0L,155PS,Manual,Petrol,"£12,999",N/A,SUV,Alex Scott Cramlington - See all 40 cars,Dealer locationCramlington
125,SKODA Enyaq,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
126,Vauxhall Crossland,2021 (21 reg),N/A,"41,957 miles",1.2L,110PS,Manual,Petrol,"£13,800",N/A,SUV,Bristol Street Motors Vauxhall Newcastle - See all 41 cars,Dealer locationNewcastle Upon Tyne
127,Ford Focus,2008 (08 reg),N/A,"152,500 miles",1.6L,99BHP,Manual,Petrol,£490,N/A,Hatchback,ASJ Motors - See all 15 cars,Dealer locationBradford
128,Ford Focus,2008 (58 reg),N/A,"119,000 miles",2.0L,136BHP,Manual,Diesel,"£1,050",N/A,Hatchback,Autopark UK - See all 168 cars,Dealer locationMeadowfield
129,Audi A6 Saloon,2007 (57 reg),3 owners,"196,000 miles",2.0L,168BHP,Automatic,Petrol,"£1,000",N/A,Saloon,,N/A
130,Vauxhall Insignia,2009 (58 reg),1 owner,"56,000 miles",1.8L,140PS,Manual,Petrol,"£2,489",N/A,Hatchback,Modern Classic Cars - See all 35 cars,Dealer locationKeighley
131,Fiat Grande Punto,2009 (09 reg),3 owners,"56,000 miles",1.4L,78PS,Manual,Petrol,"£2,350",N/A,Hatchback,Auto Select - See all 23 cars,Dealer locationBlackburn
132,SEAT Ibiza,2012 (12 reg),4 owners,"94,816 miles",1.6L,105PS,Manual,Diesel,"£2,999",N/A,Hatchback,Banks Of The Tyne Motor Company - See all 26 cars,Dealer locationHebburn
133,Fiat 500,2009 (59 reg),N/A,"88,000 miles",1.2L,70PS,Manual,Petrol,"£2,495",N/A,Hatchback,Ghost Motors LTD - See all 36 cars,Dealer locationCleckheaton
134,SEAT Ibiza,2008 (08 reg),3 owners,"96,475 miles",1.9L,99BHP,Manual,Diesel,"£2,490",N/A,Hatchback,Cheadle Car Sales - See all 52 cars,Dealer locationCheadle
135,Vauxhall Corsa,2012 (62 reg),2 owners,"105,300 miles",1.2L,85PS,Manual,Petrol,"£2,400",N/A,Hatchback,Feel Good Autos Limited - See all 35 cars,Dealer locationNewcastle Upon Tyne
136,Hyundai Getz,2005 (55 reg),N/A,"61,410 miles",1.1L,62BHP,Manual,Petrol,"£1,450",N/A,Hatchback,Deals On Wheels West Yorkshire Ltd - See all 11 cars,Dealer locationHalifax
137,Citroen Saxo,2002 (52 reg),4 owners,"59,500 miles",1.6L,120BHP,Manual,Petrol,"£6,988",N/A,Hatchback,Get Car Finance Here - See all 21 cars,Dealer locationBarnoldswick
138,Vauxhall Crossland,2021 (21 reg),N/A,"41,957 miles",1.2L,110PS,Manual,Petrol,"£13,800",N/A,SUV,Bristol Street Motors Vauxhall Newcastle - See all 41 cars,Dealer locationNewcastle Upon Tyne
139,Tesla Model 3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
140,MG MG Hs,2020 (20 reg),1 owner,"26,000 miles",1.5L,162PS,Automatic,Petrol,"£17,499",N/A,SUV,Alex Scott Cramlington - See all 40 cars,Dealer locationCramlington
141,Vauxhall Corsa,2014 (14 reg),2 owners,"157,000 miles",1.4L,100PS,Manual,Petrol,"£1,795",N/A,Hatchback,Esh Auto Dealz - See all 23 cars,Dealer locationDurham
142,Fiat Grande Punto,2007 (07 reg),N/A,"102,000 miles",1.2L,65BHP,Manual,Petrol,£999,N/A,Hatchback,APEX Motor Company - See all 18 cars,Dealer locationRotherham
143,Volkswagen Beetle,2001 (X reg),2 owners,"146,731 miles",2.0L,114BHP,Manual,Petrol,"£2,500",N/A,Hatchback,Tynemouth Motor Co Select - See all 8 cars,Dealer locationNorth Shields
144,Ford Focus,2009 (09 reg),N/A,"117,000 miles",1.6L,99BHP,Manual,Petrol,"£1,495",N/A,Hatchback,Ultimate Drive - See all 37 cars,Dealer locationDewsbury
145,BMW 3 Series,2005 (55 reg),N/A,"100,000 miles",2.0L,150PS,Automatic,Petrol,"£1,495",N/A,Saloon,Newcastle Bargain Cars - See all 19 cars,Dealer locationNewcastle Upon Tyne
146,Vauxhall Corsa,2007 (56 reg),5 owners,"97,600 miles",1.2L,79BHP,Manual,Petrol,"£1,650",N/A,Hatchback,Central Station Motors - See all 11 cars,Dealer locationBurnley
147,Audi A4,2008 (57 reg),N/A,"141,300 miles",2.0L,168BHP,Manual,Diesel,"£1,995",N/A,Saloon,Ripon Auto Centre - See all 41 cars,Dealer locationRipon
